City,State,Median Income,Percent with Bachelors or Higher,Population,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Fairhope city,Alabama,41613,54.6696096013243,22677,,,,
Point Clear CDP,Alabama,42746,43.127147766323,,,,,
Robertsdale city,Alabama,20813,14.0650985982418,6815,,,,
Garden City town,Alabama,21060,6.75675675675675,501,,,,
Georgiana town,Alabama,14670,10.3423160961398,1608,,,,
Brookwood town,Alabama,27203,18.6128803963198,1848,,,,
Walnut Grove town,Alabama,17472,8.30188679245283,700,,,,
Dothan city,Alabama,28980,25.48116887269,68941,,,,
Kinsey town,Alabama,20231,10.6232294617563,2267,,,,
Theodore CDP,Alabama,19555,12.9369737177851,,,,,
Eldridge town,Alabama,18386,12.9411764705882,123,,,,
Jasper city,Alabama,25987,19.0043763676148,13431,,,,
Kansas town,Alabama,43258,9.48905109489051,211,,,,
Fultondale city,Alabama,29445,23.4088457389428,9284,,,,
Anchorage municipality,Alaska,41415,36.1088236827018,288000,,,,
Point Baker CDP,Alaska,-666666666,,,,,,
St. Paul city,Alaska,33925,12.5435540069686,481,,,,
Allakaket city,Alaska,11386,13.9344262295081,161,,,,
Ridgeway CDP,Alaska,39275,23.1167337550316,,,,,
Hooper Bay city,Alaska,11494,2.16998191681735,1227,,,,
King Cove city,Alaska,32761,10.4441776710684,1000,,,,
Happy Valley CDP,Alaska,26708,12.80353200883,,,,,
Slana CDP,Alaska,-666666666,,,,,,
Deltana CDP,Alaska,32187,20.0545702592087,,,,,
Two Rivers CDP,Alaska,43869,0,,,,,
Nenana city,Alaska,22730,16.1290322580645,357,,,,
Selawik city,Alaska,8136,2.94117647058823,840,,,,
Sleetmute CDP,Alaska,19561,16.6666666666666,,,,,
Birch Creek CDP,Alaska,,0,,,,,
Seldovia Village CDP,Alaska,45303,16.5354330708661,,,,,
Game Creek CDP,Alaska,-666666666,,,,,,
Diomede city,Alaska,12476,7.5,119,,,,
St. Michael city,Alaska,11103,1.09289617486338,414,,,,
Stebbins city,Alaska,14291,11.7845117845117,575,,,,
Akhiok city,Alaska,17541,0,68,,,,
Old Harbor city,Alaska,23684,17.7777777777777,215,,,,
Chevak city,Alaska,25645,4.3103448275862,1077,,,,
Emmonak city,Alaska,13108,4.10958904109589,819,,,,
Nelchina CDP,Alaska,32193,15.4929577464788,,,,,
Chenega CDP,Alaska,26163,32.5581395348837,,,,,
Copper Center CDP,Alaska,22645,8.125,,,,,
Mendeltna CDP,Alaska,,0,,,,,
Silver Springs CDP,Alaska,47277,57.9999999999999,,,,,
Alakanuk city,Alaska,9812,3.43839541547277,774,,,,
Anderson city,Alaska,44731,14.4329896907216,340,,,,
Anaktuvuk Pass city,Alaska,17934,9.21052631578947,343,,,,
Covenant Life CDP,Alaska,26100,21.6216216216216,,,,,
Oxford city,Arkansas,20710,11.0887096774193,679,,,,
Hickory Ridge city,Arkansas,20009,8.75,241,,,,
Higginson town,Arkansas,18062,14.6907216494845,731,,,,
Griffithville town,Arkansas,19688,7.9136690647482,225,,,,
Lepanto city,Arkansas,20758,12.2231337161607,1807,,,,
Oppelo city,Arkansas,25796,15.1724137931034,743,,,,
Shannon Hills city,Arkansas,25595,31.7907444668008,3990,,,,
Vandervoort town,Arkansas,13189,21.2121212121212,86,,,,
Walnut Ridge city,Arkansas,19985,16.9956816779765,5062,,,,
Rondo town,Arkansas,15364,6.61764705882353,166,,,,
Moss Landing CDP,California,39806,11.1111111111111,,,,,
Belvedere city,California,175704,85.3976531942633,2104,,,,
Fairfax town,California,55491,59.9862731640356,7522,,,,
Cassel CDP,California,35498,22.7678571428571,,,,,
Cedarville CDP,California,20081,22.020725388601,,,,,
Centerville CDP,California,23419,4.39560439560439,,,,,
Chalfant CDP,California,23551,29.9858557284299,,,,,
Cherokee CDP,California,28695,6.36363636363636,,,,,
Clay CDP,California,35487,30.3658536585365,,,,,
Clear Creek CDP,California,20969,24,,,,,
Cherokee Strip CDP,California,10795,0,,,,,
Clarksburg CDP,California,47275,21.0691823899371,,,,,
Clearlake Riviera CDP,California,35253,8.9696071163825,,,,,
Cleone CDP,California,33629,14.7776183644189,,,,,
Clipper Mills CDP,California,19556,21.6730038022813,,,,,
Coarsegold CDP,California,30565,17.8660049627791,,,,,
Coffee Creek CDP,California,26489,36.3636363636363,,,,,
Cohasset CDP,California,63197,40.8602150537634,,,,,
Cold Springs CDP (El Dorado County),California,36487,27.8330019880715,,,,,
Cold Springs CDP (Tuolumne County),California,,0,,,,,
Coleville CDP,California,51261,22.1052631578947,,,,,
College City CDP,California,22776,21.6494845360824,,,,,
Coloma CDP,California,69609,16.1209068010075,,,,,
Comptche CDP,California,16297,0,,,,,
Coronita CDP,California,28296,21.4213197969543,,,,,
Courtland CDP,California,25491,34.7517730496453,,,,,
Collierville CDP,California,27136,11.0461718293395,,,,,
Cowan CDP,California,13803,0,,,,,
Cressey CDP,California,18539,26.9911504424778,,,,,
Creston CDP,California,,24.2424242424242,,,,,
Crowley Lake CDP,California,33849,48.8653555219364,,,,,
Crows Landing CDP,California,16204,0,,,,,
Cuyama CDP,California,30159,0,,,,,
Daphnedale Park CDP,California,12430,11.5702479338842,,,,,
Davenport CDP,California,33235,25.7462686567164,,,,,
Delft Colony CDP,California,6064,6.20689655172413,,,,,
Descanso CDP,California,43131,25.2925292529252,,,,,
